energy zenith azimuth antennas alpha Xmax srad muons target
1.54961e+18 41.0088 303.544 6 89.799 641.545 1.71951e+07 2.37553 1
7.99267e+17 47.9999 20.302 7 51.1919 660.695 3.59349e+06 1.53109 1
5.76882e+17 52.0915 252.634 8 75.4903 616.069 2.96065e+06 0.817683 1
8.18117e+17 49.052 227.238 12 85.4818 633.066 5.53098e+06 1.68141 1
5.26806e+17 48.4671 335.087 8 80.7137 607.021 2.08501e+06 0.904964 1
9.11067e+17 41.4961 3.9628 5 60.4125 646.3 5.15866e+06 1.66372 1
4.16782e+17 52.7037 16.52 6 55.6768 586.473 1.23883e+06 0.919866 1
3.79078e+17 44.6878 264.855 6 81.1477 621.315 1.17072e+06 0.647642 1
5.61512e+17 41.3601 191.073 7 71.3802 586.944 3.22854e+06 0.901688 1
1.84816e+18 44.0406 140.795 11 40.3765 672.831 1.49492e+07 2.95576 1
2.16314e+17 44.845 245.315 16 83.1606 622.792 338257 0.408771 1
4.48555e+17 53.229 314.714 8 85.6919 611.95 1.65307e+06 0.733987 1
5.71259e+17 42.2455 231.686 7 89.5269 615.069 2.75109e+06 1.10524 1
3.30428e+17 47.4693 179.224 17 68.1758 576.644 910790 0.658392 1
3.71746e+17 48.7448 264.883 8 77.4338 591.575 1.15341e+06 0.554653 1
2.25115e+18 50.026 244.811 9 78.0936 646.957 4.7565e+07 3.05977 1
3.71767e+17 43.5849 218.937 8 86.8742 591.044 1.44735e+06 0.631669 1
4.29525e+17 43.6135 250.692 5 83.095 647.392 1.56423e+06 0.782592 1
1.89778e+18 7.49434 202.12 5 57.3668 672.242 1.81351e+07 2.87976 1
7.72399e+17 54.471 300.677 30 78.008 631.595 6.17454e+06 1.21577 1
4.12216e+17 44.7395 284.766 5 82.8508 661.535 1.48229e+06 0.744351 1
3.43545e+17 45.8871 257.666 7 80.5338 596.311 1.05877e+06 0.514352 1
4.74424e+17 50.4982 348.459 5 73.8373 631.606 1.91614e+06 0.76215 1
9.53097e+17 40.3638 251.377 7 86.8572 616.659 6.75637e+06 1.83869 1
4.28817e+17 48.4992 275.516 8 77.7853 587.198 1.71051e+06 0.829049 1
6.57493e+17 41.2316 213.155 6 83.1631 606.178 1.80091e+06 1.17169 1
3.98524e+17 47.4746 278.655 9 78.7813 632.799 1.37846e+06 0.700265 1
2.22747e+17 44.5788 279.801 11 81.5515 581.866 323305 0.466888 1
6.81586e+17 52.2397 289.103 13 76.3897 637.284 4.39285e+06 0.979958 1
1.95663e+17 28.6217 28.513 7 44.8278 585.994 331420 0.399734 1
6.22509e+17 47.5 197.195 5 79.3185 613.496 3.39208e+06 0.933684 1
5.48328e+17 49.9186 346.271 6 75.1052 606.338 2.4555e+06 0.981634 1
2.40406e+18 49.5034 215.869 12 89.7976 680.726 5.36927e+07 3.13034 1
2.66883e+17 54.1588 175.142 22 68.7343 587.138 703819 0.502425 1
3.30072e+17 32.1358 318.736 15 77.1127 626.228 755592 0.30892 1
2.55795e+17 50.9883 223.756 18 84.7096 581.851 582815 0.654541 1
4.52297e+17 54.1131 255.49 11 72.8752 606.309 1.90766e+06 0.511557 1
2.93371e+17 46.6748 259.127 6 80.1343 566.862 655319 0.519049 1
5.98119e+17 45.5146 239.36 17 83.8035 631.312 3.0136e+06 1.06891 1
4.40165e+17 51.1609 291.803 5 78.3056 641.867 2.09609e+06 0.786557 1
7.95042e+17 49.3465 279.202 7 76.9101 656.706 6.05125e+06 1.3491 1
2.18481e+17 46.884 210.208 7 84.4157 607.432 455143 0.261828 1
5.30812e+17 52.5274 154.539 23 53.0587 663.948 1.65875e+06 0.989898 1
9.03958e+17 53.5304 253.747 11 73.2851 616.949 7.79798e+06 1.33607 1
1.18134e+18 47.7967 3.0499 7 62.8535 676.755 1.1169e+07 1.79116 1
